,twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
425,@NYtimes,26,Fri May 22 14:50:06 +0000 2020,0.4215,0.0,0.123,0.877,"As global temperatures have climbed, so have mentions of climate change in popular songs. Listen to 10 songs that l… https://t.co/dUH10Z9olU"
426,@NYtimes,27,Fri May 22 14:40:08 +0000 2020,0.4404,0.0,0.132,0.868,"Should machines ever be truly allowed to make decisions on their own? For years, some researchers have said, ""No.""… https://t.co/OwpDwRLyke"
427,@NYtimes,28,Fri May 22 14:20:03 +0000 2020,0.0,0.161,0.119,0.72,"""I miss the applause, the tent, the colors of the lights. Everything is missing.""

One of Italy’s famous family-own… https://t.co/UNR6HLJgpT"
428,@NYtimes,29,Fri May 22 14:00:17 +0000 2020,-0.7469,0.203,0.0,0.797,"Hazel Ying Lee and Maggie Gee never met, but as the only 2 Chinese-American women pilots during World War II, their… https://t.co/QNsxlCcUKB"
429,@NYtimes,30,Fri May 22 13:47:38 +0000 2020,0.0,0.0,0.0,1.0,"RT @KassieBracken: As a kid, I spent summers with my grandmother in the Rockaways — still have family there. As N.Y.C. Covid cases grew, I…"
430,@NYtimes,31,Fri May 22 13:40:05 +0000 2020,-0.4404,0.155,0.073,0.773,"Wilson Jerman, who served 11 U.S. presidents as a cleaner, butler and elevator operator, died on Saturday in Virgin… https://t.co/EShm2CGEP0"
431,@NYtimes,32,Fri May 22 13:20:05 +0000 2020,0.0,0.0,0.0,1.0,"With an assist from the king, Malaysian politicians from the old government are back in power in a new coalition. M… https://t.co/ILKZFg5jN7"
432,@NYtimes,33,Fri May 22 13:00:12 +0000 2020,0.0,0.0,0.0,1.0,"In Opinion

“The public square is thick today with augurs and prophets,” writes Mark Lilla. “But the post-Covid fut… https://t.co/XYjDg2PFBb"
433,@NYtimes,34,Fri May 22 12:40:05 +0000 2020,0.3182,0.0,0.113,0.887,"With Joe Biden actively considering Elizabeth Warren to be his running mate, their ideological differences — and wh… https://t.co/BTnsexWO2I"
434,@NYtimes,35,Fri May 22 12:20:08 +0000 2020,-0.4019,0.137,0.0,0.863,"Since the coronavirus pandemic began, tensions have repeatedly flared over whether too many New York City residents… https://t.co/JcFIoQywCe"
435,@NYtimes,36,Fri May 22 12:00:06 +0000 2020,-0.4404,0.16,0.093,0.747,A son of the Saudi writer Jamal Khashoggi said that he and his siblings had forgiven the men who killed their fathe… https://t.co/PDJBQEEWH0
436,@NYtimes,37,Fri May 22 11:53:50 +0000 2020,0.0,0.0,0.0,1.0,"For today, May 22, here’s how to follow the latest on the coronavirus outbreak. 

🌎 Live updates from around the wo… https://t.co/MAt1LBQS36"
437,@NYtimes,38,Fri May 22 11:45:03 +0000 2020,0.6249,0.0,0.212,0.788,"""Most of us are quiet enough to hear the gentle voice.”

In Quaker worship, members sit together in silence, waitin… https://t.co/3L0jO0evSs"
438,@NYtimes,39,Fri May 22 11:33:04 +0000 2020,0.0,0.0,0.0,1.0,"A Mississippi church that defied coronavirus restrictions has burned to the ground. 

Graffiti at the scene that re… https://t.co/TFwfs4ePjt"
439,@NYtimes,40,Fri May 22 11:30:09 +0000 2020,0.0,0.0,0.0,1.0,The Tokyo Olympic Games will happen in July and August of 2021 or they will not happen at all. A spokesman for the… https://t.co/rcKLeBHwBy
440,@NYtimes,41,Fri May 22 11:19:26 +0000 2020,0.3612,0.0,0.094,0.906,"RT @ditzkoff: My profile of Steve Carell and the making of his Netflix series Space Force, his first comedy show since The Office. What his…"
441,@NYtimes,42,Fri May 22 11:08:12 +0000 2020,0.0258,0.0,0.058,0.942,Breaking News: A Pakistan International Airlines plane with at least 91 people aboard crashed in a residential area… https://t.co/qdw62rN2MS
442,@NYtimes,43,Fri May 22 11:00:13 +0000 2020,0.0,0.0,0.0,1.0,RT @jimrutenberg: NEW: Questions about Tara Reade’s education credentials cause attorneys to review her work as expert witnesses in domesti…
