,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
86,springfield,37.22,-93.3,68.0,93,1,11.41,US,1590175779
87,new norfolk,-42.78,147.06,37.99,90,8,2.26,AU,1590175872
88,avarua,-21.21,-159.78,78.8,74,100,13.87,CK,1590175872
89,bethel,41.37,-73.41,78.01,53,75,11.41,US,1590175754
90,albany,42.6,-73.97,82.0,37,14,3.27,US,1590175758
91,busselton,-33.65,115.33,54.0,53,100,11.27,AU,1590175872
92,pemangkat,1.17,108.97,77.11,82,97,6.55,ID,1590175873
93,kolar,13.13,78.13,78.8,65,40,8.05,IN,1590175873
94,vila velha,-20.33,-40.29,78.8,74,75,11.41,BR,1590175873
95,akyab,20.15,92.9,83.79,83,100,4.18,MM,1590175874
96,nabire,-3.37,135.48,76.57,88,100,4.18,ID,1590175874
97,celina,40.55,-84.57,71.01,70,42,3.0,US,1590175874
98,san policarpo,12.18,125.51,81.36,86,90,5.88,PH,1590175874
99,linguere,15.4,-15.12,100.35,10,89,9.42,SN,1590175874
100,vaini,-21.2,-175.2,66.2,88,40,3.36,TO,1590175874
101,marsa matruh,31.35,27.25,69.8,73,40,12.75,EG,1590175874
102,strezhevoy,60.73,77.59,59.0,62,99,6.71,RU,1590175875
103,olafsvik,64.89,-23.71,48.74,65,100,17.67,IS,1590175875
104,butaritari,3.07,172.79,83.12,80,17,14.83,KI,1590175875
105,xuanzhou,30.95,118.76,66.27,89,99,5.5,CN,1590175875
106,puerto cabezas,14.04,-83.39,87.8,62,75,9.17,NI,1590175875
107,san andres,12.58,-81.7,86.0,74,90,6.93,CO,1590175796
108,chernyshevskiy,63.01,112.47,49.98,64,49,2.15,RU,1590175875
109,geraldton,-28.77,114.6,51.8,38,0,3.36,AU,1590175846
110,saint-francois,46.42,3.91,73.99,64,97,4.7,FR,1590175875
111,airai,-8.93,125.41,61.25,100,99,2.46,TL,1590175875
112,port hardy,50.7,-127.42,53.6,71,90,9.17,CA,1590175875
113,macae,-22.37,-41.79,78.8,69,5,13.87,BR,1590175876
114,alegrete,-29.78,-55.79,58.48,93,99,13.96,BR,1590175876
115,lima,-12.04,-77.03,66.2,72,90,8.05,PE,1590175628
116,kanniyakumari,8.08,77.57,82.65,86,71,17.6,IN,1590175876
117,hambantota,6.12,81.12,78.8,100,40,5.82,LK,1590175876
118,ponta do sol,32.67,-17.1,68.0,69,85,1.01,PT,1590175876
119,upernavik,72.79,-56.15,31.26,96,0,9.82,GL,1590175876
120,burnie,-41.07,145.92,39.99,86,3,5.01,AU,1590175876
121,provideniya,64.38,-173.3,38.32,82,86,10.85,RU,1590175877
122,gamboma,-1.88,15.86,80.01,69,84,2.73,CG,1590175877
123,khandbari,27.37,87.2,72.05,73,69,0.69,NP,1590175877
124,nargana,9.44,-78.59,84.33,75,86,4.23,PA,1590175877
125,vrnjacka banja,43.62,20.9,55.4,62,0,1.12,RS,1590175877
126,marolambo,-20.05,48.12,61.97,93,58,2.89,MG,1590175877
127,clyde river,70.47,-68.59,28.4,86,75,8.05,CA,1590175877
128,tibati,6.47,12.63,71.17,88,3,2.75,CM,1590175877
129,tual,-5.67,132.75,81.09,87,100,11.95,ID,1590175877
130,purna,19.18,77.05,90.68,18,0,11.88,IN,1590175877
131,kirakira,-10.45,161.92,80.15,85,17,10.38,SB,1590175878
